time_s,altitude_agl_m
3.8586497360734455,744.1471943765014
3.875889698429417,748.6903061461721
3.8931296607853882,753.2274379061323
3.9103696231413596,757.7586014211697
3.9327124263656246,763.6220798987972
3.9550552295898895,769.4755802211043
3.9773980328141545,775.3191284719344
3.9997408360384195,781.1527506704049
4.022083639262684,786.9764727296013
4.049024610967321,793.9855925261188
4.075965582671959,800.9804002588551
4.096753567676171,806.3679257335004
4.100911164677013,807.4444132650162
4.105068761677856,808.5205619991766
4.109226358678699,809.5963721049254
4.1133839556795415,810.671843750521
4.121699149681226,812.8217723301691
4.130014343682911,814.9703490732152
4.138329537684595,817.1175753066652
4.14664473168628,819.2634523489135
4.16569471609316,824.1745452398175
4.18474470050004,829.0785791753201
4.203794684906921,833.9755694385353
4.222844669313801,838.8655310312408
4.241894653720681,843.7484786885877
4.264773655708952,849.6036414262157
4.2876526576972225,855.4487328331927
4.310531659685493,861.283777209467
4.3334106616737635,867.1087985865568
4.356289663662034,872.9238207854191
4.379168665650305,878.7288674109875
4.402047667638575,884.5239618087178
4.424926669626846,890.3091267204634
4.447805671615116,896.0843840005871
4.470684673603387,901.8497542397533
4.493563675591657,907.6052570619547
4.497354237518511,908.5578694580772
4.501144799445365,909.5102116499136
4.504935361372219,910.4622837271504
4.508725923299073,911.414085776152
4.512516485225927,912.3656178856936
4.520097609079635,914.2678726512399
4.527678732933344,916.1690487549342
4.535259856787053,918.0691469260489
4.5428409806407615,919.9681678925613
4.558858563373656,923.9769265170853
4.574876146106551,927.9808865740274
4.590893728839445,931.9800549031945
4.60691131157234,935.9744383180193
4.634846911585532,942.9294466825866
4.656107402339824,948.2128636844275
4.677367893094116,953.4878987183645
4.698628383848408,958.7545670636025
4.719888874602701,964.0128838054823
4.745026789019824,970.2194415801282
4.770164703436947,976.4143689410839
4.7953026178540705,982.597690019626
4.820440532271194,988.7694288478622
4.845578446688317,994.9296094396605
4.8707163611054405,1001.0782558078802
4.895854275522564,1007.2153919523676
4.920992189939687,1013.3410418322705
4.950463560905773,1020.5080808871264
4.97993493187186,1027.6594032597984
5.009406302837946,1034.7950469336722
5.038877673804032,1041.9150495865463
5.068349044770119,1049.019448632968
5.097820415736205,1056.1082812994737
5.141988611538348,1066.7031181649215
5.186156807340492,1077.2632004907143
5.222560334990286,1085.9408060080589
5.25896386264008,1094.594957571803
5.295367390289874,1103.225725309318
5.331770917939668,1111.8331791778292
5.368174445589462,1120.4173889499384
5.404577973239256,1128.9784239071
5.410188309736695,1130.2957527930548
5.415798646234133,1131.6125330956017
5.421408982731572,1132.928765007929
5.427019319229011,1134.2444487126822
5.4326296557264495,1135.5595843943522
5.443357773819155,1138.0728692855596
5.454085891911861,1140.584152342821
5.464814010004567,1143.0934349249414
5.475542128097272,1145.6007184081072
5.491195267044767,1149.2554519374598
5.506848405992262,1152.9059369647666
5.5225015449397565,1156.552177994972
5.538154683887251,1160.1941796374715
5.565803075117992,1166.6167630141833
5.593451466348732,1173.026161222274
5.6138043433062,1177.7359173479879
5.634157220263669,1182.438554161735
5.654510097221137,1187.134082508349
5.674862974178605,1191.8225131480347
5.695215851136074,1196.5038567473273
5.731129510092816,1204.7470656715684
5.7670431690495585,1212.968298294873
5.771567624327804,1214.0024653222335
5.776092079606049,1215.036284541553
5.780616534884294,1216.0697560657125
5.78514099016254,1217.1028800070735
5.794189900719029,1219.1680855903203
5.803238811275519,1221.2319021970786
5.812287721832009,1223.2943307471808
5.8213366323884985,1225.3553721772741
5.837809891310937,1229.1038766917488
5.8508364663744254,1232.0648366132634
5.863863041437914,1235.0229306444257
5.876889616501402,1237.978161880572
5.892411062428407,1241.495649475699
5.907932508355413,1245.0090822453706
5.923453954282418,1248.5184664078658
5.938975400209423,1252.0238077064132
5.959032181747449,1256.5474241025513
5.973145550624399,1259.7265253375713
5.9872589195013495,1262.9022976659492
5.99008159327674,1263.5370529815677
5.99290426705213,1264.1716753093874
5.99572694082752,1264.806164675074
6.0013722883783,1266.0747446163464
6.0070176359290794,1267.3427930237906
6.012662983479859,1268.6103101289593
6.018308331030639,1269.8772961523725
6.034041695471994,1273.4055362806535
6.049775059913349,1276.929657809823
6.065508424354705,1280.449665454459
6.08124178879606,1283.965563941902
6.102647473180914,1288.7424527543785
6.124053157565768,1293.5117561870552
6.145458841950623,1298.2734863366554
6.166864526335477,1303.0276553069584
6.188270210720331,1307.7742751350565
6.212734686646965,1313.1899399209635
6.237199162573599,1318.5957768397614
6.257278171317567,1323.0252399283786
6.277357180061534,1327.4481034580144
6.297436188805501,1331.8643763967978
6.3175151975494686,1336.2740675275952
6.339533812613634,1341.1021731903438
6.361552427677799,1345.92238589978
6.365282709963557,1346.7382208834595
6.369012992249315,1347.5538297169219
6.372743274535074,1348.369212464858
6.376473556820832,1349.1843691894596
6.3839341213923495,1350.8140048081016
6.391394685963867,1352.4427370528374
6.398855250535385,1354.0705663980082
6.406315815106902,1355.697493313528
6.4235824776998145,1359.459379506459
6.440849140292727,1363.2164400500837
6.458115802885639,1366.9686802632464
6.4753824654785515,1370.7161050642617
6.492649128071464,1374.458719064612
6.511364962143159,1378.5100182422636
6.530080796214855,1382.5556761503458
6.54879663028655,1386.595698570148
6.567512464358246,1390.630091395615
6.586228298429941,1394.6588606381554
6.613914545593514,1400.6083010450889
6.641600792757086,1406.5454695162148
6.6692870399206585,1412.4703876186534
6.696973287084231,1418.383077669148
6.720027383320477,1423.297209076598
6.743081479556722,1428.2028909865087
6.766135575792968,1433.10013668413
