time_s,altitude_agl_m,AGL_ft
2.217822114,317.4194167,1041.453106
2.229696007,321.0253592,1053.284203
2.2415699,324.646716,1065.165875
2.253443793,328.283082,1077.096792
2.265317686,331.9340292,1089.07555
2.277191579,335.5991238,1101.100725
2.289065472,339.2779102,1113.170823
2.300939364,342.9698862,1125.284197
2.319542414,348.7793816,1144.345151
2.338145463,354.6176481,1163.500503
2.356748512,360.4821396,1182.7419
2.371970939,365.298467,1198.54427
2.387193365,370.1288144,1214.39264
2.402415792,374.9714436,1230.281306
2.417638219,379.8245578,1246.204374
2.420682704,380.7962792,1249.392592
2.423727189,381.7683342,1252.581905
2.426771675,382.7407079,1255.772263
2.42981616,383.7133849,1258.963616
2.435905131,385.6595895,1265.349113
2.441994102,387.6068296,1271.738008
2.448083072,389.5549923,1278.12993
2.454172043,391.5039712,1284.524529
2.464352205,394.7640183,1295.220744
2.474532367,398.0255904,1305.921962
2.484712529,401.2882356,1316.626701
2.494892691,404.5515327,1327.333579
2.505072853,407.8150969,1338.041333
2.515253015,411.0785729,1348.748798
2.525433177,414.3416355,1359.454906
2.537322543,418.151644,1371.955544
2.54921191,421.9602852,1384.451696
2.561101276,425.7671922,1396.942158
2.572990642,429.5720365,1409.425852
2.587490947,434.2092136,1424.64043
2.601991253,438.8423758,1439.841835
2.616491558,443.4710691,1455.028578
2.630991863,448.0948854,1470.199319
2.645492168,452.7134522,1485.352837
2.659992473,457.3264244,1500.487999
2.674492778,461.933477,1515.603738
2.690936021,467.1502892,1532.720099
2.707379265,472.3586723,1549.808804
2.709187533,472.9308545,1551.686133
2.709734541,473.1039318,1552.254
2.7097948,473.1229979,1552.316556
2.709855058,473.1420638,1552.379111
2.709975575,473.1801955,1552.504221
2.710096091,473.2183266,1552.62933
2.710358734,473.3014239,1552.901972
2.710621377,473.3845181,1553.174604
2.710884019,473.4676093,1553.447226
2.712597967,474.0097701,1555.226056
2.714311915,474.5518024,1557.004464
2.716025863,475.0937063,1558.78245
2.72450617,477.7730623,1567.573417
2.732986476,480.4492823,1576.354095
2.741466783,483.1223727,1585.124505
2.744517051,484.0830881,1588.276612
2.747567319,485.0433997,1591.427394
2.750617587,486.0033078,1594.576853
2.752365757,486.5532686,1596.381274
2.754113927,487.1030969,1598.185261
2.755862096,487.652793,1599.988814
2.773343793,493.1424859,1618.000496
2.79082549,498.6190035,1635.968951
2.808307187,504.0823986,1653.89435
2.825788884,509.5327242,1671.776868
2.832403987,511.5917393,1678.532497
2.83901909,513.6488934,1685.282019
2.845634194,515.7041895,1692.025446
2.852529929,517.8447027,1699.048469
2.859425664,519.9832032,1706.06489
2.8663214,522.1196945,1713.074718
2.878821819,525.9875624,1725.765192
2.891322239,529.8488581,1738.434103
2.903822658,533.7036036,1751.081523
2.931539277,542.2273109,1779.047807
2.944224832,546.1178871,1791.812788
2.956910388,550.0018303,1804.556005
2.969595944,553.8791671,1817.277547
2.976830177,556.0873599,1824.522628
2.984064411,558.2934176,1831.760703
2.991298644,560.4973449,1838.991789
3.003764055,564.2899807,1851.435427
3.006880407,565.2371559,1854.543108
3.013113113,567.1303294,1860.754611
3.019345818,569.0219357,1866.960971
3.025578523,570.9119774,1873.162198
3.037936281,574.6547995,1885.442397
3.05029404,578.3915032,1897.702522
3.062651798,582.1221122,1909.94265
3.075009556,585.8466493,1922.162856
3.087367314,589.5651373,1934.363215
3.099725072,593.2775992,1946.543803
3.112082831,596.9840581,1958.704695
3.126017928,601.1564356,1972.394265
3.139953025,605.3212427,1986.058997
3.153888122,609.4785125,1999.698999
3.167823219,613.6282778,2013.31438
3.186583737,619.2032217,2031.60577
3.205344254,624.7647022,2049.852988
3.224104772,630.312797,2068.056287
3.242865289,635.8475825,2086.215918
3.261625807,641.3691338,2104.332128
3.280386324,646.8775248,2122.405159
3.299146842,652.3728279,2140.435248
3.31790736,657.8551147,2158.422631
3.336667877,663.3244557,2176.367539
3.355428395,668.7809203,2194.270199
3.380071322,675.9288234,2217.72247
3.40471425,683.0547812,2241.102737
3.429357178,690.1589446,2264.411497
3.454000106,697.2414626,2287.649239
3.45856823,698.5520013,2291.949116
3.463136354,699.8618024,2296.246574
3.467704479,701.1708666,2300.541613
3.472272603,702.4791951,2304.834239
3.481408851,705.0936485,2313.412261
3.4905451,707.7051701,2321.980663
3.499681348,710.3137677,2330.539472
3.508817596,712.9194489,2339.088712
3.527333408,718.1912927,2356.385631
3.545849219,723.4512548,2373.643567
3.564365031,728.6994002,2390.862732
3.582880842,733.9357949,2408.043343
3.601396653,739.1605046,2425.185616
3.626477695,746.2192443,2448.34534
3.651558737,753.2568241,2471.43564
3.670845948,758.6543982,2489.145081
3.690133159,764.0396218,2506.813999
3.70942037,769.412563,2524.442619
3.728707581,774.7732889,2542.031161
3.747994792,780.1218652,2559.57984
3.767282002,785.458357,2577.088869
3.796127951,793.4172,2603.201833
3.8249739,801.349396,2629.227368
3.846824794,807.3405033,2648.884191
3.851194973,808.5369265,2652.809656
3.855565152,809.7327541,2656.733166
3.85993533,810.9279869,2660.654725
3.864305509,812.1226258,2664.574335
3.873045867,814.5101269,2672.407726
3.881786224,816.8952669,2680.233371
3.890526582,819.2780555,2688.0513
3.899266939,821.6585026,2695.861547
3.920908668,827.5426399,2715.167402
3.942550397,833.4126287,2734.426835
3.960261605,838.206098,2750.154207
3.977972813,842.9902679,2765.851069
3.995684021,847.7652166,2781.517676
4.013395229,852.531021,2797.15428
4.031106437,857.2877565,2812.761129
4.048817645,862.0354975,2828.338467
4.066528853,866.7743165,2843.886532
4.084240061,871.5042847,2859.405558
4.111541276,878.7781921,2883.271248
4.138842492,886.0314853,2907.069303
4.156826956,890.7983921,2922.709525
4.17481142,895.5565288,2938.320971
4.192795884,900.3059633,2953.903866
4.210780348,905.0467631,2969.45843
4.224109651,908.5549055,2980.968645
4.237438954,912.0583679,2992.463505
4.250768257,915.5571765,3003.943096
4.26409756,919.0513573,3015.407503
